YEAR,CRUISE,DoY,LONGITUDE,LATITUDE,SST,SALINITY,fCO2_atm,fCO2_sw,pH
1996.812125,AMT3,298.0498889,-54.97593889,-45.49073333,9.208888889,34.21493333,367.5888889,337.9611111,8.1089
1996.812475,AMT3,298.1782,-55.07,-46.16332,8.642,34.25934,364.68,341.42,8.1051
1996.813213,AMT3,298.4490667,-55.66222,-47.55222,6.942666667,34.09070667,363.2333333,336.06,8.1093
1996.813959,AMT3,298.7228571,-56.11191429,-48.50357143,5.558571429,33.80347143,365.7785714,340.0142857,8.1022
1996.814453,AMT3,298.9042,-56.49555333,-49.29444667,6.198,33.70600667,356.9933333,278.3266667,8.1777
1998.70791,AMT7,259.0949,-9.265833,47.40500333,17.59833333,35.70933333,361.4866667,338.7566667,8.1155
1998.708734,AMT7,259.3964815,-10.63640741,46.55278889,18.44111111,35.76405185,370.137037,345.2666667,8.1084
1998.709513,AMT7,259.681625,-10.7718875,45.52295,19.205,35.79165,364,345.775,8.1075
1998.710125,AMT7,259.9059091,-10.77009545,44.49054091,19.52636364,35.80993182,364.1409091,350.05,8.1029
1998.710641,AMT7,260.0947222,-10.78191667,43.58194444,19.65388889,35.85402778,361.2944444,352.9833333,8.1001
1998.711319,AMT7,260.3428,-10.82112,42.38999333,18.98933333,35.80011333,364.5133333,349.8466667,8.1035
1998.711797,AMT7,260.5177143,-10.79702143,41.65417143,18.45571429,35.79625,365.7928571,346.3857143,8.1075
1998.712682,AMT7,260.8416667,-10.78014286,40.48015238,19.8152381,35.88584286,367.7,362.0952381,8.0911
1998.713254,AMT7,261.0508333,-10.45231111,39.73703889,19.38166667,35.84315556,368.9166667,356.9666667,8.0963
1998.723019,AMT7,264.6250526,-12.44472298,38.59692807,20.82087719,35.66301053,368.6473684,378.0403509,8.0734
1998.726772,AMT7,265.9986667,-15.91575,37.4713,22.81111111,34.89446667,368.9,389.1444444,8.0569
1998.727818,AMT7,266.3812632,-17.33068421,36.43507895,23.35789474,36.57275263,368.9,388.4526316,8.0669
1998.728404,AMT7,266.596,-17.475,35.9167,23.41,36.6427,368.9,381.6,8.0735
1998.728945,AMT7,266.794,-17.4333,34.9083,23.25,36.6298,368.9,379.5,8.0756
1998.732899,AMT7,268.241102,-17.06070816,32.42772449,23.37285714,36.68195714,367.8938776,375.2367347,8.0797
1998.734952,AMT7,268.9922667,-18.17888667,31.5239,23.81333333,36.55455333,367.1133333,387.0133333,8.0675
1998.735846,AMT7,269.3197895,-19.49758158,30.41337368,23.87894737,37.00459737,364.7815789,383.7789474,8.0733
1998.736765,AMT7,269.656125,-19.966675,29.57655,24.03,36.9996125,368.06875,380.725,8.0758
1998.737483,AMT7,269.918875,-19.98903125,28.50676875,23.945625,37.13083125,368,371.95625,8.085
1998.737949,AMT7,270.0894615,-19.9833,27.67949231,24.35692308,37.26114615,365.7461538,375.9692308,8.0815
1998.738643,AMT7,270.3432174,-19.98910435,26.51268696,24.02130435,36.98545652,368.2565217,376.4478261,8.0797
1998.73933,AMT7,270.5947692,-19.98204615,25.63203846,24.18769231,37.06511538,371.7461538,368.8923077,8.0871
1998.739817,AMT7,270.7732,-20,24.85664,24.406,37.16628,371.76,370.56,8.0859
1998.740806,AMT7,271.1348333,-19.98191667,23.36664167,24.00666667,36.86146667,359.0333333,367.2583333,8.0876
1998.741377,AMT7,271.344,-19.98746667,22.35415833,24.5025,36.35129167,361.35,362.575,8.0882
1998.741988,AMT7,271.5675833,-19.98193333,21.56458333,24.35416667,36.46288333,365.0833333,377.8583333,8.0747
1998.742803,AMT7,271.8659167,-20,20.33403333,25.5475,36.226375,386.4416667,402.4583333,8.0495
1998.743283,AMT7,272.0414286,-19.98807143,19.4829381,25.73142857,36.31269524,382.0714286,393.5285714,8.0576
1998.743842,AMT7,272.24635,-19.99457,18.48707,26.333,36.341445,382.995,404.01,8.0478
1998.744581,AMT7,272.5165484,-19.82203548,17.5121,27.72580645,35.9193129,384.6935484,329.2096774,8.1137
1998.745292,AMT7,272.777,-19.14736316,16.61578947,29.03210526,35.61971053,376.0947368,345.5578947,8.0932
1998.746464,AMT7,273.2056429,-18.15358571,15.42085,28.78214286,35.59523571,374.6642857,419.85,8.0265
1998.748674,AMT7,274.0148588,-17.8203,14.54735059,28.70752941,35.41252706,376.6988235,412.3,8.0319
1998.751181,AMT7,274.9321579,-19.15284474,13.49846316,28.84078947,35.28371842,374.5789474,424.3894737,8.021
1998.752224,AMT7,275.3138182,-20.77373939,12.49091212,28.3269697,35.4930697,374.5181818,360.9848485,8.0789
1998.753104,AMT7,275.6360952,-21.33851905,11.48412381,28.75904762,35.40648095,383.7285714,343.8238095,8.0944
1998.753659,AMT7,275.839125,-21.47499375,10.6734375,28.90625,35.50041875,381.8375,326.21875,8.1124
1998.755052,AMT7,276.3491364,-22.09395455,8.393560909,28.13272727,35.40502727,385.0272727,402.4227273,8.0412
1998.755636,AMT7,276.5628889,-22.33240556,7.695832222,28.62722222,35.40284444,389.5222222,401.3777778,8.0413
1998.756624,AMT7,276.9245,-22.88333,6.3175,28.335,34.87665,374.4,368.17,8.0691
1998.757155,AMT7,277.1185789,-23.19824211,5.557447368,28.12157895,34.89012105,355.8684211,350.1684211,8.0867
1998.757858,AMT7,277.3759167,-23.64722083,4.492729167,28.05,35.28480417,358.075,356.375,8.0828
1998.758654,AMT7,277.6672632,-24.03114211,3.572815789,28.35368421,35.66844737,359,362.8263158,8.078
1998.759347,AMT7,277.9209474,-24.43508947,2.581578947,28.13947368,35.82994737,357.8842105,367.7421053,8.0747
